city,state,num,soda_prop,lat,lng
Tuscaloosa,Alabama,3,0.808441558,33.209841,-87.569174
Birmingham,Alabama,2,0.808441558,33.520661,-86.80249
Mobile,Alabama,3,0.808441558,30.701142,-88.103184
Flagstaff,Arizona,3,0.822626136,35.287661,-111.639303
Yuma,Arizona,3,0.822626136,32.701461,-114.657232
Tucson,Arizona,2,0.822626136,32.217975,-110.970869
Conway,Arkansas,3,0.6799117,35.065889,-92.362875
Jonesboro,Arkansas,3,0.6799117,33.608922,-91.207356
Little Rock,Arkansas,3,0.6799117,33.608922,-91.207356
Los Angeles,California,40,0.955736721,35.187133,-117.885359
San Francisco,California,10,0.955736721,35.187133,-117.885359
San Diego,California,9,0.955736721,32.724103,-117.170912
Riverside,California,6,0.955736721,33.953349,-117.396156
Sacramento,California,5,0.955736721,38.380456,-121.555406
San Jose,California,5,0.955736721,37.189396,-121.705327
Denver,Colorado,7,0.390041494,39.743291,-105.069027
Boulder,Colorado,3,0.390041494,40.049468,-105.201421
Colorado Springs,Colorado,3,0.390041494,37.94411,-104.84545
Norwich,Connecticut,3,0.984119346,41.52426,-72.07591
Waterbury,Connecticut,3,0.984119346,41.365709,-72.927507
New Haven,Connecticut,3,0.984119346,41.365709,-72.927507
Dover,Delaware,3,0.967283073,39.156376,-75.49549
Washington,District of Columbia,15,0.923413567,38.895112,-77.036366
Miami,Florida,18,0.937990431,25.883337,-80.131831
Tampa,Florida,8,0.937990431,27.996097,-82.582035
Orlando,Florida,5,0.937990431,28.545179,-81.373291
Atlanta,Georgia,15,0.904899135,33.844371,-84.47405
Albany,Georgia,3,0.904899135,31.560674,-84.176751
Brunswick,Georgia,3,0.904899135,31.180919,-81.493973
Coeur d'Alene,Idaho,3,0.347951114,43.049919,-111.379111
Idaho Falls,Idaho,3,0.347951114,43.54241,-111.877936
Boise City,Idaho,3,0.347951114,43.64003,-116.354524
Chicago,Illinois,28,0.302190434,41.850033,-87.650052
Peoria,Illinois,3,0.302190434,40.693137,-89.589847
Springfield,Illinois,3,0.302190434,41.612532,-90.045117
Indianapolis,Indiana,4,0.201799878,39.775092,-86.13216
Bloomington,Indiana,3,0.201799878,39.83337,-87.24974
Fort Wayne,Indiana,3,0.201799878,41.130604,-85.12886
Iowa City,Iowa,3,0.159729081,41.634209,-91.49905
Sioux City,Iowa,4,0.159729081,43.198027,-92.161281
Des Moines,Iowa,3,0.159729081,42.651566,-93.582732
Topeka,Kansas,3,0.233670402,38.988075,-95.780662
Wichita,Kansas,2,0.233670402,37.651974,-97.258997
Louisville/Jefferson County,Kentucky,3,0.350373349,37.792809,-84.847023
Owensboro,Kentucky,3,0.350373349,37.751818,-87.257303
Shreveport,Louisiana,3,0.816582915,32.498202,-93.750228
New Orleans,Louisiana,4,0.816582915,30.068812,-89.930956
Baton Rouge,Louisiana,3,0.816582915,30.159092,-92.176237
Bangor,Maine,3,0.975053457,44.507856,-67.859167
Portland,Maine,3,0.975053457,44.507856,-67.859167
Baltimore,Maryland,7,0.961223266,39.092053,-76.81775
Aberdeen,Maryland,3,0.961223266,39.499909,-76.231177
Lexington Park,Maryland,3,0.961223266,39.043296,-76.907403
Boston,Massachusetts,13,0.980862909,42.370567,-71.026964
Springfield,Massachusetts,4,0.980862909,42.170731,-72.604842
Worcester,Massachusetts,3,0.980862909,42.265275,-71.879415
Detroit,Michigan,12,0.357180833,42.347021,-83.060184
Ann Arbor,Michigan,3,0.357180833,42.266638,-83.849042
Flint,Michigan,3,0.357180833,42.965926,-83.780835
Minneapolis,Minnesota,8,0.131551572,45.160411,-93.314839
Duluth,Minnesota,3,0.131551572,47.005566,-92.001934
Rochester,Minnesota,3,0.131551572,44.075285,-92.516916
Gulfport,Mississippi,3,0.706382979,30.382966,-89.102426
Hattiesburg,Mississippi,3,0.706382979,31.245138,-89.28071
Pascagoula,Mississippi,3,0.706382979,30.365446,-88.540115
Kansas City,Missouri,5,0.77695078,39.102404,-94.598583
Jefferson City,Missouri,3,0.77695078,38.494029,-92.165194
Springfield,Missouri,3,0.77695078,38.194674,-91.077001
